Filename,Font name,Uploaded to google drive,Download FREE font from:,,,,font_folder
1108,,,,,,,
1109,,,,,,,
1110,,,,,,,
1111,,,,,,,
1112,,,,,,,
1113,,,,,,,
1114,,,,,,,
1115,,,,,,,
1116,,,,,,,
1117,,,,,,,
1118,,,,,,,
1119,,,,,,,
1120,,,,,,,
1121,,,,,,,
1122,,,,,,,
1123,,,,,,,
1124,,,,,,,
1125,,,,,,,
1126,,,,,,,
1127,,,,,,,
1128,,,,,,,
1129,,,,,,,
1130,,,,,,,
1131,,,,,,,
1132,,,,,,,
1133,,,,,,,
1134,,,,,,,
1135,,,,,,,
1136,,,,,,,
1137,,,,,,,
1138,,,,,,,
1139,,,,,,,
1140,,,,,,,
1141,,,,,,,
1142,,,,,,,
1143,,,,,,,
1144,,,,,,,
1145,,,,,,,
1146,,,,,,,
1147,,,,,,,
1148,,,,,,,
1149,,,,,,,
1150,,,,,,,
1151,,,,,,,
1152,,,,,,,
1153,,,,,,,
1154,,,,,,,
1155,,,,,,,
1156,,,,,,,
1157,,,,,,,
1158,,,,,,,
1159,,,,,,,
1160,,,,,,,
1161,,,,,,,
1162,,,,,,,
1163,,,,,,,
1164,,,,,,,
1165,,,,,,,
1166,,,,,,,
1167,,,,,,,
1168,,,,,,,
1169,,,,,,,
1170,,,,,,,
1171,,,,,,,
1172,,,,,,,
1173,,,,,,,
1174,,,,,,,
1175,,,,,,,
1176,,,,,,,
1177,,,,,,,
1178,,,,,,,
1179,,,,,,,
1180,,,,,,,
1181,,,,,,,
1182,,,,,,,
1183,,,,,,,
1184,,,,,,,
1185,,,,,,,
1186,,,,,,,
1187,,,,,,,
1188,,,,,,,
1189,,,,,,,
1190,,,,,,,
1191,,,,,,,
1192,,,,,,,
1193,,,,,,,
1194,,,,,,,
1195,,,,,,,
1196,,,,,,,
1197,,,,,,,
1198,,,,,,,
1199,,,,,,,
1200,,,,,,,
1201,,,,,,,
1202,,,,,,,
1203,,,,,,,
1204,,,,,,,
1205,,,,,,,
1206,,,,,,,
1207,,,,,,,
1208,,,,,,,
1209,,,,,,,
1210,,,,,,,
1211,,,,,,,
1212,,,,,,,
1213,,,,,,,
1214,,,,,,,
1215,,,,,,,
1216,,,,,,,
1217,,,,,,,
1218,,,,,,,
1219,,,,,,,
1220,,,,,,,
1221,,,,,,,
1222,,,,,,,
1223,,,,,,,
1224,,,,,,,
1225,,,,,,,
1226,,,,,,,
1227,,,,,,,
1228,,,,,,,
1229,,,,,,,
1230,,,,,,,
1231,,,,,,,
1232,,,,,,,
1233,,,,,,,
1234,,,,,,,
1235,,,,,,,
1236,,,,,,,
1237,,,,,,,
1238,,,,,,,
1239,,,,,,,
1240,,,,,,,
1241,,,,,,,
1242,,,,,,,
1243,,,,,,,
1244,,,,,,,
1245,,,,,,,
1246,,,,,,,
1247,,,,,,,
1248,,,,,,,
1249,,,,,,,
1250,,,,,,,
1251,,,,,,,
1252,,,,,,,
1253,,,,,,,
1254,,,,,,,
1255,,,,,,,
1256,,,,,,,
1257,,,,,,,
1258,,,,,,,
1259,,,,,,,
1260,,,,,,,
1261,,,,,,,
1262,,,,,,,
1263,,,,,,,
1264,,,,,,,
1265,,,,,,,
1266,,,,,,,
1267,,,,,,,
1268,,,,,,,
1269,,,,,,,
1270,,,,,,,
1271,,,,,,,
1272,,,,,,,
1273,,,,,,,
1274,,,,,,,
1275,,,,,,,
1276,,,,,,,
1277,,,,,,,
1278,,,,,,,
1279,,,,,,,
1280,,,,,,,
1281,,,,,,,
1282,,,,,,,
1283,,,,,,,
1284,,,,,,,
1285,,,,,,,
1286,,,,,,,
1287,,,,,,,
1288,,,,,,,
1289,,,,,,,
1290,,,,,,,
1291,,,,,,,
1292,,,,,,,
1293,,,,,,,
1294,,,,,,,
1295,,,,,,,
1296,,,,,,,
1297,,,,,,,
1298,,,,,,,
1299,,,,,,,
1300,,,,,,,
1301,,,,,,,
1302,,,,,,,
1303,,,,,,,
1304,,,,,,,
1305,,,,,,,
1306,,,,,,,
1307,,,,,,,
1308,,,,,,,
1309,,,,,,,
1310,,,,,,,
1311,,,,,,,
1312,,,,,,,
1313,,,,,,,
1314,,,,,,,
1315,,,,,,,
1316,,,,,,,
1317,,,,,,,
1318,,,,,,,
1319,,,,,,,
1320,,,,,,,
1321,,,,,,,
1322,,,,,,,
1323,,,,,,,
1324,,,,,,,
1325,,,,,,,
1326,,,,,,,
1327,,,,,,,
1328,,,,,,,
1329,,,,,,,
1330,,,,,,,
1331,,,,,,,
1332,,,,,,,
1333,,,,,,,
1334,,,,,,,
1335,,,,,,,
1336,,,,,,,
1337,,,,,,,
1338,,,,,,,
1339,,,,,,,
1340,,,,,,,
1341,,,,,,,
1342,,,,,,,
1343,,,,,,,
1344,,,,,,,
1345,,,,,,,
1346,,,,,,,
1347,,,,,,,
1348,,,,,,,
1349,,,,,,,
1350,,,,,,,
1351,,,,,,,
1352,,,,,,,
1353,,,,,,,
1354,,,,,,,
1355,,,,,,,
1356,,,,,,,
1357,,,,,,,
1358,,,,,,,
1359,,,,,,,
1360,,,,,,,
1361,,,,,,,
1362,,,,,,,
1363,,,,,,,
1364,,,,,,,
1365,,,,,,,
1366,,,,,,,
1367,,,,,,,
1368,,,,,,,
1369,,,,,,,
1370,,,,,,,
1371,,,,,,,
1372,,,,,,,
1373,,,,,,,
1374,,,,,,,
1375,,,,,,,
1376,,,,,,,
1377,,,,,,,
1378,,,,,,,
1379,,,,,,,
1380,,,,,,,
1381,,,,,,,
1382,,,,,,,
1383,,,,,,,
1384,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10001,Barclays Premier League.ttf,YES,https://www.whatfontis.com/FF_PremierLeague.font,Tang Medium SCOSF,Tang Medium SCOSF,Tang Medium SCOSF,premierleague
10002,Hakuna-Sans.otf,YES,https://www.whatfontis.com/FF_Hakuna-Sans.font,Touch Me Sans Petite Black,Touch Me Sans Petite Black,Touch Me Sans Petite Black,hakuna-sans
10003,itc-garamond-std-book-condensed.otf,YES,https://www.freefontdownload.org/en/itc-garamond-std-book-condensed.font,ITC Garamond Condensed Book,ITC Garamond Condensed Book,ITC Garamond Condensed Book,itc-garamond-std-book-condensed
10004,Recta Medium Condensed.ttf,YES,https://dafont.style/download/recta-fonts.html,Recta Medium Small Caps,Recta Medium Small Caps,Recta Medium Small Caps,
10005,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-neue-5,Neue Helvetica Thai Bold,Neue Helvetica Thai Bold,Neue Helvetica Thai Bold,helvetica-neue(family)
,,,,,,,
10007,BebasNeue Regular.otf,YES,https://font.download/font/bebas-neue,Bebas Neue Semi Rounded,Bebas Neue Semi Rounded,Bebas Neue Semi Rounded,basquiat-regular
,,,,,,,
10009,lifescef-regular.otf,YES,https://maisfontes.com/lifescef-regular.font,Life Small Caps Regular,Life Small Caps Regular,Life Small Caps Regular,life-smallcaps-ef-regular
10010,DharmaGothicE_Regular_R.otf,YES,https://dafont.style/download/dharma-gothic-font.html,Dharma Ghotic Rounded M,Dharma Ghotic Rounded M,Dharma Ghotic Rounded M,dharma-gothic-e(family)
,,,,,,,
10012,helonik-extended-bold.otf,YES,maisfontes.com/helonik-extended-bold.font,Helonik Extended Bold,Helonik Extended Bold,Helonik Extended Bold,helonik-extended-bold
10013,Gill Facia MT Std Regular.otf,YES,https://freefonts.co/fonts/gill-facia-mt-std-regular,Gil Facia ,Gil Facia ,Gil Facia ,gill-facia-mt-std-regular
10014,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-255,Helvetica Thai Bold,Helvetica Thai Bold,Helvetica Thai Bold,helvetica-neue(family)
10015,HelveticaNeueMedium.otf,YES,https://font.download/font/helvetica-neue-5,Neue Helvetica Paneuropean,Neue Helvetica Paneuropean,Neue Helvetica Paneuropean,helvetica-neue(family)
10016,BASKE1.ttf,YES,https://font.download/font/baskerville,Baskersville Nr 1 sh,Baskersville Nr 1 sh,Baskersville Nr 1 sh,
10017,hinted-CheyenneSans-Italic.ttf,YES,https://www.whatfontis.com/FF_Cheyenne-Sans-Medium-Italic.font,Gravitica Regular Italic,Gravitica Regular Italic,Gravitica Regular Italic,cheyenne-sans-medium-italic
10018,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-255,Neue Helvetica Thai Bold,Neue Helvetica Thai Bold,Neue Helvetica Thai Bold,helvetica-neue(family)
10019,bigola-display-regular.otf,YES,https://ifonts.xyz/bigola-display-font.html,Bigola Display Regular,Bigola Display Regular,Bigola Display Regular,bigola-display(family)
,,,,,,,
10021,modal-semi-bold.otf,YES,maisfontes.com/modal-semi-bold,Modal Semibold Backslant,Modal Semibold Backslant,Modal Semibold Backslant,modal-semi-bold
10022,NimbusRomNo9L-RegIta.otf,YES,https://font.download/font/nimbus-roman-no9l,Nimbus Roman No. 9 Std Regular SC,Nimbus Roman No. 9 Std Regular SC,Nimbus Roman No. 9 Std Regular SC,nimbus-roman-no9l(family)
10023,FancyWriting-Mega Regular.ttf,YES,https://fontsgeek.com/fonts/FancyWritingMega-Regular,FF FancyWriting Std Median,FF FancyWriting Std Median,FF FancyWriting Std Median,fancywriting-mega-regular
10024,HAMMOCK-Black.otf,YES,https://www.dafont.com/hammock.font,Hammock,Hammock,Hammock,
10025,HandTIMES.ttf,YES,https://www.dafont.com/hand-times.font,Hand Scribble Sketch Times Rough,Hand Scribble Sketch Times Rough,Hand Scribble Sketch Times Rough,hand_times
10026,BebasNeue Bold.otf,YES,https://font.download/font/bebas-neue,Bebas Neue Pro Bold Italic,Bebas Neue Pro Bold Italic,Bebas Neue Pro Bold Italic,bebas-neue(family)
,,,,,,,
10028,Helvetica Bold Condensed.otf,YES,https://font.download/font/helvetica-neue-5,Neue Helvetica 107 Condensed,Neue Helvetica 107 Condensed,Neue Helvetica 107 Condensed,helvetica-bold-condensed
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10043,Helvetica-BoldOblique.ttf,YES,https://font.download/font/helvetica-255,Helvetica Pro Narrow Bold Oblique,Helvetica Pro Narrow Bold Oblique,Helvetica Pro Narrow Bold Oblique,helvetica-bold-condensed
10044,times.ttf,YES,https://font.download/font/times-new-roman,Times New Roman Pro Regular,Times New Roman Pro Regular,Times New Roman Pro Regular,times-ten(family)
,,,,,,,
,,,,,,,
10047,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica Thai Bold,Helvetica Thai Bold,Helvetica Thai Bold,helvetica-bold-condensed
10048,STENCIL.TTF,YES,https://font.download/font/stencil,Trade Stencil Regular,Trade Stencil Regular,Trade Stencil Regular,stencil
10049,HMSGilbertSans-Regular.ttf,YES,https://en.bestfonts.pro/font/hms-gilbert,HMS Gilbert Serif,HMS Gilbert Serif,HMS Gilbert Serif,elixir-sans-regular
10050,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica Pro Narrow Bold,Helvetica Pro Narrow Bold,Helvetica Pro Narrow Bold,helvetica-bold-condensed
10051,Trocchi-Regular.ttf,YES,https://fonts.google.com/specimen/Trocchi,National Forest Print Bold,National Forest Print Bold,National Forest Print Bold,
10052,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica Now Pro Text Bold,Helvetica Now Pro Text Bold,Helvetica Now Pro Text Bold,helvetica-bold-condensed
10053,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica Pro Textbook Bold,Helvetica Pro Textbook Bold,Helvetica Pro Textbook Bold,helvetica-bold-condensed
10054,nimbus-sans-bold.otf,YES,https://www.freefontdownload.org/en/nimbus-sans-bold.font,Nimbus Sans Std Bold,Nimbus Sans Std Bold,Nimbus Sans Std Bold,nimbus-sans(family)
10055,TimesTen.ttf,YES,https://font.download/font/times-ten,Times Ten Pro Bold,Times Ten Pro Bold,Times Ten Pro Bold,times-ten(family)
10056,Swiss 924 Regular.otf,YES,https://dafont.style/download/swiss-924-regular-font.html,Swiss 924 Std Regular,Swiss 924 Std Regular,Swiss 924 Std Regular,swiss-924-regular
10057,steelfish.ttf,YES,https://font.download/font/steelfish,Sansmatica Condensed Oblique,Sansmatica Condensed Oblique,Sansmatica Condensed Oblique,steelfish(family)
10058,PF Fusion Sans Pro Black.ttf,YES,https://dafont.style/download/pf-fusion-sans-pro-black-font.html,PF Fusion Sans Pro Black,PF Fusion Sans Pro Black,PF Fusion Sans Pro Black,pf-fusion-sans-pro-black
10059,Heezpiero-X3yPg.otf,YES,https://font.download/font/heezpiero,Heezpiero,Heezpiero,Heezpiero,heezpiero
10060,goudy-serial-xbold.ttf,YES,https://www.freefontdownload.org/en/goudy-serial-xbold.font,Goudy Serial Xbold,Goudy Serial Xbold,Goudy Serial Xbold,goudy-serial-xbold
10061,Tanseek Modern Pro Arabic.ttf,YES,https://dafont.style/download/tanseek-modern-pro-arabic-font.html,Tanseek Modern Arabic Medium,Tanseek Modern Arabic Medium,Tanseek Modern Arabic Medium,tanseek-modern-pro-arabic
10062,cabrito-contrast-bold.ttf,YES,https://www.freefontdownload.org/en/cabrito-contrast-bold.font,Cabrito Contrast Ext Demi,Cabrito Contrast Ext Demi,Cabrito Contrast Ext Demi,cabrito-contrast-bold
10063,Coastal-Clean.ttf,YES,https://en.bestfonts.pro/font/coastal,Coastal Round,Coastal Round,Coastal Round,
10064,AnonymousPro-Regular.ttf,YES,https://fonts.google.com/specimen/Anonymous+Pro,Gineso Titling Thin,Gineso Titling Thin,Gineso Titling Thin,anonymous-pro(family)
10065,zMTTRoma-Bold.ttf,YES,https://www.freefonts.io/mtt-roma-font-family/,MTT Roma Bold,MTT Roma Bold,MTT Roma Bold,
10066,SpaceMono-Regular.ttf,YES,https://fonts.google.com/specimen/Space+Mono,CA Normal Left Medium,CA Normal Left Medium,CA Normal Left Medium,splashed-regular
10067,Laramie Pro Bold.otf,YES,https://fontsgeek.com/fonts/Laramie-Pro-Bold,Laramie Pro Bold,Laramie Pro Bold,Laramie Pro Bold,laramie-pro-bold
10068,ProbaPro-Regular.otf,YES,https://www.fontshmonts.com/text-fonts/proba-pro/,Proba Pro,Proba Pro,Proba Pro,carimbo-regular
10069,DupincelLargeTest-Book.otf,YES,https://font.download/font/dupincel-large-test,Dupincel Large Book,Dupincel Large Book,Dupincel Large Book,dupincel-large-test(family)
10070,Orbitron-Regular.ttf,YES,https://fonts.google.com/specimen/Orbitron,Parkson Black,Parkson Black,Parkson Black,carimbo-regular
10071,randisious.ttf,YES,https://www.freefontdownload.org/en/randisious.font,Randisious,Randisious,Randisious,randisious
10072,Northwell.ttf,YES,https://freefontsfamily.org/northwell-font-free-download/,Northwell Reg,Northwell Reg,Northwell Reg,northwell(family)
,,,,,,,
10074,Barlow-Regular.ttf,YES,https://fonts.google.com/specimen/Barlow,Ansage Medium CD Italic,Ansage Medium CD Italic,Ansage Medium CD Italic,carimbo-regular
10075,Didot.otf,YES,https://font.download/font/didot-2,didot,didot,didot,
10076,BebasNeue.otf,YES,https://font.download/font/bebas-neue,Bebas Neue,Bebas Neue,Bebas Neue,bebas-neue(family)
10077,LeagueGothic-Regular.otf,YES,https://www.1001fonts.com/league-gothic-font.html,League Gothic Font Family,League Gothic Font Family,League Gothic Font Family,league-gothic(family)
10078,CenturyGothicPaneuropeanRegular.ttf,YES,https://font.download/font/century-gothic-paneuropean,Century Gothic,Century Gothic,Century Gothic,century-gothic-paneuropean(family)
10079,impact.ttf,YES,https://font.download/font/impact,Impact,Impact,Impact,impact(family)
10080,PatrickHand-Regular.ttf,YES,https://fonts.google.com/specimen/Patrick+Hand,Patrick Hand,Patrick Hand,Patrick Hand,patrick-hand
10081,Sans-Andreas-Regular-Demo.ttf,YES,https://www.whatfontis.com/FF_Sans-Andreas-Regular.font,Sans Andreas Regular font,Sans Andreas Regular font,Sans Andreas Regular font,sans-andreas-regular(family)
10082,Gotham Book.otf,YES,https://fontsgeek.com/fonts/Gotham-Book,Gotham Book,Gotham Book,Gotham Book,gotham-book
10083,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica bold,Helvetica bold,Helvetica bold,helvetica-bold-condensed
10084,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica bold,Helvetica bold,Helvetica bold,helvetica-bold-condensed
10085,arsenale_white.ttf,YES,https://www.whatfontis.com/FF_Arsenale-White.font,Arsenale White font,Arsenale White font,Arsenale White font,arsenale-white
10086,MYRIADPRO-REGULAR.OTF,YES,https://font.download/font/myriad-pro,Myriad Pro,Myriad Pro,Myriad Pro,
10087,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,Helvetica bold,Helvetica bold,Helvetica bold,helvetica-bold-condensed
10088,times.ttf,YES,https://font.download/font/times-new-roman,Times New Roman Seven Regular,Times New Roman Seven Regular,Times New Roman Seven Regular,times-ten(family)
10089,bobby-jones-regular.otf,YES,https://www.freefontdownload.org/en/bobby-jones-regular.font,"Bobby Jones Regular","Bobby Jones Regular","Bobby Jones Regular",bobby-jones-regular
10090,georgia.ttf,YES,https://font.download/font/georgia-2,georgia font,georgia font,georgia font,georgia-2(family)
10091,bobby-jones-regular.otf,YES,https://www.freefontdownload.org/en/bobby-jones-regular.font,Bobby Jones Regular,Bobby Jones Regular,Bobby Jones Regular,bobby-jones-regular
10092,impact.ttf,YES,https://font.download/font/impact,Impact,Impact,Impact,impact(family)
10093,Elmo.ttf,YES,https://www.whatfontis.com/FF_Elmo.font,Elmo font,Elmo font,Elmo font,elmo
10094,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-neue-5,Helvetica Neue Bold,Helvetica Neue Bold,Helvetica Neue Bold,helvetica-neue(family)
10095,bobby-jones-regular.otf,YES,https://www.freefontdownload.org/en/bobby-jones-regular.font,"Bobby Jones Regular","Bobby Jones Regular","Bobby Jones Regular",bobby-jones-regular
10096,georgiab.ttf,YES,https://font.download/font/georgia-2,Georgia Bold,Georgia Bold,Georgia Bold,georgia-2(family)
10097,Helvetica Bold Condensed.otf,YES,https://dafont.style/download/helvetica-condensed-bold-font.html,Helvetica condensed Bold ,Helvetica condensed Bold ,Helvetica condensed Bold ,helvetica-bold-condensed
,,,,,,,
10099,Helvetica-Bold.ttf,YES,https://font.download/font/helvetica-255,"Helvetica Now Pro Display ExtraBold Italic","Helvetica Now Pro Display ExtraBold Italic","Helvetica Now Pro Display ExtraBold Italic",helvetica-bold-condensed
10100,bobby-jones-regular.otf,YES,https://www.freefontdownload.org/en/bobby-jones-regular.font,Bobby Jones Regular,Bobby Jones Regular,Bobby Jones Regular,bobby-jones-regular
,,,,,,,
,,,,,,,
10103,DK Boarding House I.otf,YES,https://www.whatfontis.com/FF_DK-Boarding-House-I-Regular.font,DK Boarding House I Regular font,DK Boarding House I Regular font,DK Boarding House I Regular font,dk-boarding-house-i-regular(family)
10104,BebasNeue.otf,YES,https://font.download/font/bebas-neue,Bebas Neue,Bebas Neue,Bebas Neue,bebas-neue(family)
10105,impact.ttf,YES,https://font.download/font/impact,Impact,Impact,Impact,impact(family)
10106,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-neue-5,"Neue Helvetica Georgian 75 Bold","Neue Helvetica Georgian 75 Bold","Neue Helvetica Georgian 75 Bold",helvetica-neue(family)
10107,BebasNeue.otf,YES,https://font.download/font/bebas-neue,Bebas Neue,Bebas Neue,Bebas Neue,bebas-neue(family)
10108,Putumayo.ttf,YES,https://www.whatfontis.com/FF_Putumayo.font,Putumayo,Putumayo,Putumayo,putumayo
10109,THUDUO1T.TTF,YES,https://www.whatfontis.com/FF_VI-Thuoc-Duoc-Hoa.font,VI Thuoc Duoc Hoa,VI Thuoc Duoc Hoa,VI Thuoc Duoc Hoa,
10110,OPTIFutura-ExtraBlackCond.otf,YES,https://www.whatfontis.com/FF_OPTIFutura-ExtraBlackCond.font,OPTIFutura-ExtraBlackCond font,OPTIFutura-ExtraBlackCond font,OPTIFutura-ExtraBlackCond font,optifutura-extrablackcond
10111,lemon squeezy .ttf,YES,https://www.whatfontis.com/FF_lemon-squeezy.font,lemon squeezy,lemon squeezy,lemon squeezy,lemon-squeezy
10112,bobby-jones-regular.otf,YES,https://www.freefontdownload.org/en/bobby-jones-regular.font,"Bobby Jones Soft Regular","Bobby Jones Soft Regular","Bobby Jones Soft Regular",bobby-jones-regular
10113,HelveticaNeueBold.otf,YES,https://font.download/font/helvetica-neue-5,"Neue Helvetica Pro 77 Condensed Bold","Neue Helvetica Pro 77 Condensed Bold","Neue Helvetica Pro 77 Condensed Bold",helvetica-neue(family)
10114,avenir-next-bold.ttf,YES,https://www.freefontdownload.org/en/avenir-next-bold.font,Avenir Next Bold,Avenir Next Bold,Avenir Next Bold,avenir-next-bold
10115,OPTIKartoon.otf,YES,https://www.whatfontis.com/FF_OPTIKartoon.font,OPTIKartoon,OPTIKartoon,OPTIKartoon,optikartoon
10116,MADE Tommy Soft Medium PERSONAL USE.otf,YES,https://www.whatfontis.com/FF_MADETommySoft-Medium.font,MADETommySoft-Medium,MADETommySoft-Medium,MADETommySoft-Medium,madetommysoft-medium(family)
10117,Anton-Regular.ttf,YES,https://fonts.google.com/specimen/Anton,Anton Regular,Anton Regular,Anton Regular,malkuns-regular
